spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,input_pixel,max_executor_memory,network_received,job_cost
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724992f474121a174aaf95e0c4834,2024-07-24T13:28:46.181935Z,,122.386714356 cpu-seconds,613472.76953125 mb-seconds,86 seconds,cdse,12 mega-pixel,1.8399314880371094 gb,3137071963 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724b37d53479c8d6b4cf37dbb855c,2024-07-24T13:29:26.717449Z,,207.460113653 cpu-seconds,1314824.21875 mb-seconds,140 seconds,cdse,27 mega-pixel,1.9945869445800781 gb,3231573058 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407240b3fdb4c0abe3056b1a408a995,2024-07-24T13:29:47.063121Z,,318.77321605599997 cpu-seconds,2131285.529296875 mb-seconds,147 seconds,cdse,50 mega-pixel,1.7822074890136719 gb,6864566145 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724d5be4641e6824d175a969ad954,2024-07-24T13:30:10.168847Z,,294.947716626 cpu-seconds,3996010.4957217257 mb-seconds,370 seconds,cdse,48 mega-pixel,1.8148574829101562 gb,6216810327 b,3.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724848f0542669be60a4854cfb108,2024-07-24T13:30:41.334449Z,,427.03501955799993 cpu-seconds,2571100.91796875 mb-seconds,170 seconds,cdse,108 mega-pixel,1.8231887817382812 gb,13648775858 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724d330a944da81b8f2426ddcbc7c,2024-07-24T13:31:10.915987Z,,555.19434651 cpu-seconds,4088699.51953125 mb-seconds,169 seconds,cdse,200 mega-pixel,2.0688323974609375 gb,26253401709 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407248d024949d8a0a1fb78ad843da4,2024-07-24T13:31:44.036575Z,,325.97925599 cpu-seconds,2272514.63671875 mb-seconds,134 seconds,cdse,192 mega-pixel,1.8191986083984375 gb,7912921141 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-2407245edc184bcaa198c6143409e0a6,2024-07-24T13:32:07.071303Z,2024-07-24T13:38:07.448024Z,542.320959366 cpu-seconds,3593505.3515625 mb-seconds,165 seconds,cdse,432 mega-pixel,2.1749839782714844 gb,23514861542 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-2407248fc7bf4756b807f1ad636e1799,2024-07-24T13:34:58.097148Z,,17.17321305 cpu-seconds,17335.375 mb-seconds,32 seconds,cdse,,,1774 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-2407246c2ab040c481f8cd763a56eb74,2024-07-24T13:35:44.633978Z,,102.012287939 cpu-seconds,530660.0625 mb-seconds,96 seconds,cdse,12 mega-pixel,1.3199653625488281 gb,46782553 b,2.0
5000,"{'west': 664000.0, 'south': 5611120.0, 'east': 669000.0, 'north': 5616120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072400522143a79f99a00ebef8074d,2024-07-24T13:38:19.870828Z,,239.04000198499998 cpu-seconds,1185469.5963541665 mb-seconds,140 seconds,cdse,27 mega-pixel,1.63336181640625 gb,2883418160 b,2.0
