spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,input_pixel,max_executor_memory,network_received,job_cost
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724113e3b4925b34a5a26f495447d,2024-07-24T17:55:28.880245Z,2024-07-24T18:00:35.894462Z,745.97712125 cpu-seconds,4893162.99609375 mb-seconds,189 seconds,cdse,432 mega-pixel,2.160797119140625 gb,24140709505 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724940ec840dc83213db51a6d0a88,2024-07-24T17:57:57.692573Z,2024-07-24T18:00:36.078461Z,1198.6224656570002 cpu-seconds,7034044.451822917 mb-seconds,226 seconds,cdse,800 mega-pixel,2.3427200317382812 gb,57593495663 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724386e0a4ee59b492b365368b206,2024-07-24T18:00:36.517091Z,,765.458837163 cpu-seconds,4498837.345052083 mb-seconds,202 seconds,cdse,772 mega-pixel,2.3910484313964844 gb,26915350669 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724f1a9e34a478355371636a4ad1c,2024-07-24T18:00:53.045842Z,,1528.377730035 cpu-seconds,8599035.284765625 mb-seconds,294 seconds,cdse,1732 mega-pixel,2.661548614501953 gb,72664939783 b,4.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724257fc64ab998bd7567fff49916,2024-07-24T18:01:09.035562Z,2024-07-24T18:08:05.843677Z,2987.4141521720003 cpu-seconds,13824919.411132814 mb-seconds,355 seconds,cdse,3216 mega-pixel,3.123992919921875 gb,141878321674 b,6.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724b8748b424e8e01aecfb79cf04e,2024-07-24T18:01:32.278050Z,,144.798051661 cpu-seconds,1073784.9375 mb-seconds,99 seconds,cdse,48 mega-pixel,1.8263320922851562 gb,2309224719 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-240724d988c4407786611209526ab3c1,2024-07-24T18:01:47.206700Z,,5400 cpu-seconds,11059200 mb-seconds,30 seconds,cdse,,,,6.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-24072427913849c48c0a99ecaed864c0,2024-07-24T18:02:05.784122Z,2024-07-24T18:08:08.632980Z,614.425689225 cpu-seconds,5384031.994791668 mb-seconds,260 seconds,cdse,200 mega-pixel,2.0420799255371094 gb,34728326890 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724f1f49e454f8f337b9a4cd757b6,2024-07-24T18:03:25.053413Z,2024-07-24T18:08:08.815416Z,194.40528609700002 cpu-seconds,1506883.1015625 mb-seconds,148 seconds,cdse,192 mega-pixel,2.0638351440429688 gb,4490185647 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-240724ce9ddd4662816c23bd1f5aa229,2024-07-24T18:05:57.502796Z,,5400 cpu-seconds,11059200 mb-seconds,29 seconds,cdse,,,,6.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,error,j-2407246095af45458052ead8ebda6f9b,2024-07-24T18:08:09.728815Z,,5400 cpu-seconds,11059200 mb-seconds,35 seconds,cdse,,,176 b,6.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724e438ff47698ab7e826bf186dbb,2024-07-24T18:10:35.042526Z,2024-07-24T18:14:24.061084Z,983.0435852899999 cpu-seconds,5810503.148437499 mb-seconds,188 seconds,cdse,772 mega-pixel,2.1830711364746094 gb,30549150010 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,error,j-2407249b0c194b8da340c341501136b2,2024-07-24T18:11:53.463635Z,,16.849929002 cpu-seconds,15608.2578125 mb-seconds,31 seconds,cdse,,,1368 b,2.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724b54b264f97b22ac6a557ae1d86,2024-07-24T18:12:23.796880Z,2024-07-24T18:14:24.790298Z,2713.460091582 cpu-seconds,11946968.638541667 mb-seconds,307 seconds,cdse,3216 mega-pixel,3.0157699584960938 gb,141257209248 b,6.0
