spatial_range,spatial_extent,temporal_range,temporal_extent,process_graph_path,process_graph_id,status,id,start_time,running_time,cpu,memory,duration,backend_name,input_pixel,max_executor_memory,network_received,job_cost
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724b9cf014e8d8a2e997ead2203b2,2024-07-24T17:46:46.587607Z,,216.781091726 cpu-seconds,1207107.2578125 mb-seconds,114 seconds,cdse,48 mega-pixel,1.5922203063964844 gb,3810562590 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724c7aaa0405e87c56e40da958870,2024-07-24T17:47:02.774129Z,,403.281817919 cpu-seconds,1832027.98828125 mb-seconds,145 seconds,cdse,108 mega-pixel,1.9051895141601562 gb,16317684631 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724e83b154fb8a226adde60608661,2024-07-24T17:47:24.689645Z,2024-07-24T17:51:06.308080Z,566.915488031 cpu-seconds,2904232.8281250005 mb-seconds,171 seconds,cdse,200 mega-pixel,2.0373497009277344 gb,26162581870 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-24072434cff44aa68ad331b4137e087a,2024-07-24T17:47:43.339449Z,2024-07-24T17:51:06.476929Z,363.10031982299995 cpu-seconds,1842088.1015625 mb-seconds,132 seconds,cdse,192 mega-pixel,2.22198486328125 gb,10697972124 b,2.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-2407246914ab4282b10b6e29ca873f13,2024-07-24T17:48:05.255125Z,2024-07-24T17:51:06.641744Z,540.524763249 cpu-seconds,4035757.3593749995 mb-seconds,189 seconds,cdse,432 mega-pixel,2.390819549560547 gb,22643033225 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407245ce496414ba595daed4266b2f5,2024-07-24T17:48:36.687975Z,2024-07-24T17:51:06.878051Z,997.7621007770001 cpu-seconds,5561226.7880859375 mb-seconds,303 seconds,cdse,800 mega-pixel,2.5003623962402344 gb,59845372667 b,3.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-24072426ba924e2199049986745f8646,2024-07-24T17:48:55.627246Z,2024-07-24T17:51:07.023654Z,788.656810371 cpu-seconds,3537644.993489583 mb-seconds,236 seconds,cdse,772 mega-pixel,2.6934242248535156 gb,35575753797 b,2.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-240724a34063421e9f3498f3b9196640,2024-07-24T17:49:11.996689Z,2024-07-24T17:51:07.206477Z,1786.204881206 cpu-seconds,10782243.186979167 mb-seconds,328 seconds,cdse,1732 mega-pixel,2.6879959106445312 gb,75064430431 b,4.0
40000,"{'west': 664000.0, 'south': 5611120.0, 'east': 704000.0, 'north': 5651120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-240724a6699e4b9890fe2fe02523c5a5,2024-07-24T17:49:28.736387Z,2024-07-24T17:51:07.384039Z,2824.894096518001 cpu-seconds,18092171.75209263 mb-seconds,442 seconds,cdse,3216 mega-pixel,3.5544166564941406 gb,144457571378 b,7.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724a572ed4bc685465e1005faecba,2024-07-24T17:49:46.447384Z,2024-07-24T17:53:00.399193Z,285.92906835 cpu-seconds,1131693.2942708333 mb-seconds,163 seconds,cdse,48 mega-pixel,1.9685592651367188 gb,3491875010 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",6,"['2020-01-01', '2020-06-29']",NDWI.json,NDWI,finished,j-24072481631e4a669834a39d84941fbe,2024-07-24T17:51:07.864312Z,,290.187633836 cpu-seconds,3232684.75390625 mb-seconds,366 seconds,cdse,108 mega-pixel,1.9138565063476562 gb,10043836205 b,2.0
10000,"{'west': 664000.0, 'south': 5611120.0, 'east': 674000.0, 'north': 5621120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",12,"['2020-01-01', '2020-12-26']",NDWI.json,NDWI,finished,j-2407241055b6427db2e9f7cf05470f35,2024-07-24T17:51:23.080574Z,2024-07-24T17:53:00.766671Z,640.42589989 cpu-seconds,5316437.337499999 mb-seconds,298 seconds,cdse,200 mega-pixel,2.1160736083984375 gb,34098391041 b,3.0
20000,"{'west': 664000.0, 'south': 5611120.0, 'east': 684000.0, 'north': 5631120.0, 'crs': 'EPSG:32631', 'srs': 'EPSG:32631'}",3,"['2020-01-01', '2020-03-31']",NDWI.json,NDWI,finished,j-240724697d314c5fa459304256f9d040,2024-07-24T17:53:01.074693Z,,246.630945114 cpu-seconds,2401991.166666667 mb-seconds,176 seconds,cdse,192 mega-pixel,1.9407806396484375 gb,6298265147 b,2.0
